time,temperature_2m_mean (°C),relative_humidity_2m_mean (%),precipitation_sum (mm),wind_speed_10m_max (km/h),wind_direction_10m_dominant (°),cloud_cover_mean (%)
2019-05-09,33.9,18,0.00,15.7,309,32
2019-05-10,33.0,21,0.00,24.8,193,56
2019-05-11,29.6,37,0.60,25.7,134,34
2019-05-12,30.7,36,0.00,13.3,317,24
2019-05-13,29.8,42,1.90,20.6,298,88
2019-05-14,28.9,45,0.30,23.9,120,40
2019-05-15,29.5,42,0.00,17.8,161,71
2019-05-16,28.4,48,0.00,11.7,2,66
2019-05-17,26.2,63,9.40,20.7,59,82
2019-05-18,27.9,55,0.00,16.7,310,53
2019-05-19,31.0,38,0.00,23.3,288,51
2019-05-20,31.7,33,0.00,21.7,327,35
2019-05-21,33.0,28,0.00,14.2,288,30
2019-05-22,33.2,29,0.00,20.5,260,68
2019-05-23,31.2,38,1.10,19.9,133,51
2019-05-24,27.7,54,0.90,17.6,31,27
2019-05-25,28.1,49,0.00,17.6,309,0
2019-05-26,30.9,35,0.00,17.1,310,13
2019-05-27,31.7,29,0.00,16.9,338,1
2019-05-28,33.3,23,0.00,14.3,316,6
2019-05-29,34.2,24,0.00,27.0,310,25
2019-05-30,35.3,22,0.00,15.9,319,9
2019-05-31,36.6,19,0.00,11.3,341,4
2019-06-01,36.5,21,0.00,11.3,48,11
2019-06-02,36.1,23,0.00,20.5,104,3
2019-06-03,35.9,28,0.00,33.3,126,9
2019-06-04,34.4,39,0.30,21.9,110,12
2019-06-05,35.4,30,0.00,19.7,63,40
2019-06-06,34.6,25,0.00,18.5,337,9
2019-06-07,33.7,26,0.00,11.5,42,6
2019-06-08,34.7,25,0.00,17.7,353,33
2019-06-09,35.6,25,0.00,11.0,63,5
2019-06-10,36.7,25,0.00,10.1,205,7
2019-06-11,36.1,26,0.00,17.8,169,19
2019-06-12,35.1,27,0.00,31.2,96,15
2019-06-13,35.3,28,0.00,18.2,35,4
2019-06-14,35.5,19,0.00,18.3,313,0
2019-06-15,34.9,28,1.40,21.9,298,39
2019-06-16,34.6,33,0.00,14.2,266,18
2019-06-17,32.4,48,0.20,34.5,155,23
2019-06-18,29.1,61,4.50,23.4,168,50
2019-06-19,32.5,49,0.00,9.2,180,12
2019-06-20,32.6,45,0.00,18.8,198,48
2019-06-21,32.5,45,0.00,12.3,275,18
2019-06-22,34.8,36,0.00,15.8,299,6
2019-06-23,34.6,40,0.00,16.3,271,32
2019-06-24,29.5,64,0.70,21.3,12,69
2019-06-25,32.3,57,0.00,10.5,31,17
2019-06-26,34.5,43,0.00,19.5,275,11
2019-06-27,34.1,43,0.00,17.3,261,12
2019-06-28,35.2,42,0.00,17.3,269,6
2019-06-29,35.6,39,0.10,29.0,260,11
2019-06-30,35.1,39,0.10,11.6,285,13
2019-07-01,35.5,38,0.40,21.4,260,14
2019-07-02,36.1,37,0.00,11.5,250,4
2019-07-03,36.6,37,0.00,11.8,184,12
2019-07-04,35.4,48,0.00,20.6,111,22
2019-07-05,33.3,59,0.30,15.5,111,17
2019-07-06,31.8,67,4.00,16.0,88,51
2019-07-07,32.0,66,6.50,17.6,99,25
2019-07-08,34.3,57,0.00,14.8,106,11
2019-07-09,32.6,66,0.00,22.0,100,33
2019-07-10,31.4,71,5.40,17.7,115,32
2019-07-11,31.8,73,7.30,19.8,92,36
2019-07-12,31.2,74,3.90,15.9,90,33
2019-07-13,29.8,77,4.20,21.7,97,60
2019-07-14,28.2,81,10.30,16.2,110,50
2019-07-15,28.2,80,3.50,20.1,122,43
2019-07-16,26.6,85,10.60,16.8,131,62
2019-07-17,27.7,76,0.80,12.5,113,47
2019-07-18,29.1,76,1.20,11.5,131,38
2019-07-19,28.9,79,15.80,13.9,106,45
2019-07-20,29.3,78,0.10,11.6,107,11
2019-07-21,29.8,79,3.00,16.1,107,24
2019-07-22,30.9,78,3.60,9.0,117,29
2019-07-23,31.9,72,0.70,7.1,119,27
2019-07-24,33.0,67,0.00,13.2,157,51
2019-07-25,29.1,83,17.40,22.3,103,99
2019-07-26,27.8,87,31.60,13.1,103,97
2019-07-27,28.2,84,2.80,18.0,107,94
2019-07-28,27.8,87,16.50,16.1,80,96
2019-07-29,29.8,80,0.70,10.8,76,70
2019-07-30,30.6,79,3.50,13.1,164,69
2019-07-31,29.0,82,7.70,15.0,118,77
2019-08-01,28.7,83,2.80,13.9,104,61
2019-08-02,26.9,90,21.10,12.0,97,80
2019-08-03,28.8,82,1.10,9.0,104,52
2019-08-04,29.8,83,0.70,9.7,111,25
2019-08-05,31.0,78,0.20,6.8,118,10
2019-08-06,30.2,83,5.30,17.7,113,61
